league,league_id,season,view,team_id,team_name,team_short_name,player_id,player_name,position,games_played,time_played_formatted,time_played,offensive_rating_lineup,offensive_rating_lineup_diff,defensive_rating_lineup,defensive_rating_lineup_diff,net_rating_lineup,net_rating_lineup_diff,possessions_lineup,possession_percentage_lineup,points_lineup,points_opponent_lineup,net_points_lineup,rebound_percentage_lineup,rebound_percentage_lineup_diff,offensive_rating_lineup_wo,offensive_rebound_percentage_lineup,offensive_rebound_percentage_lineup_diff,2p_attempted_lineup,2p_percentage_lineup,2p_percentage_lineup_diff,3p_attempted_lineup,3p_attempted_rate_lineup,3p_attempted_rate_lineup_diff,3p_percentage_lineup,3p_percentage_lineup_diff,fouls_received_rate_lineup,fouls_received_rate_lineup_diff,assist_percentage_lineup,assist_percentage_lineup_diff,turnover_percentage_lineup,turnover_percentage_lineup_diff,defensive_rating_lineup_wo,possession_percentage_opponent_lineup,defensive_rebound_percentage_lineup,defensive_rebound_percentage_lineup_diff,2p_attempted_opponent_lineup,2p_percentage_opponent_lineup,2p_percentage_opponent_lineup_diff,3p_attempted_opponent_lineup,3p_attempted_rate_opponent_lineup,3p_attempted_rate_opponent_lineup_diff,3p_percentage_opponent_lineup,3p_percentage_opponent_lineup_diff,fouls_rate_lineup,fouls_rate_lineup_diff,assist_percentage_opponent_lineup,assist_percentage_opponent_lineup_diff,turnover_percentage_opponent_lineup,turnover_percentage_opponent_lineup_diff
euroleague,25,2025,total,709,Kosner Baskonia Vitoria-Gasteiz,Baskonia,38888,Juom Bol,C,1,02:38,158,120,11,0,-158.8,120,169.9,5,7,6,0,6,33.3,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euroleague,25,2025,offensive,709,Kosner Baskonia Vitoria-Gasteiz,Baskonia,38888,Juom Bol,C,1,02:38,158,120,11,,,,,,7,,,,,,109,0,-32.5,2,0,-58.8,3,60,16.7,66.7,47.4,0,-29.9,20,-2.1,0,-15,,,,,,,,,,,,,,,,,,
euroleague,25,2025,defensive,709,Kosner Baskonia Vitoria-Gasteiz,Baskonia,38888,Juom Bol,C,1,02:38,158,,,0,-158.8,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8,6,66.7,13.1,1,0,-64.3,2,66.7,25.8,0,-51.7,0,-23.5,0,-32.4,40,31.4
euroleague,25,2025,total,460,Olympiacos Piraeus,Olympiacos,22948,Keenan Evans,PG,1,02:01,121,166.7,41.7,66.7,-40.4,100,82,3,4,5,2,3,40,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euroleague,25,2025,offensive,460,Olympiacos Piraeus,Olympiacos,22948,Keenan Evans,PG,1,02:01,121,166.7,41.7,,,,,,4,,,,,,125,0,-34.4,2,50,-12.5,1,33.3,-1.1,100,71.4,0,-34.7,66.7,44.7,0,-12,,,,,,,,,,,,,,,,,,
euroleague,25,2025,defensive,460,Olympiacos Piraeus,Olympiacos,22948,Keenan Evans,PG,1,02:01,121,,,66.7,-40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,107,4,50,-4.9,0,,,4,100,60.8,0,-20.7,66.7,41.3,0,-15.5,0,-10.6
euroleague,25,2025,total,2222,AS Monaco,Monaco,24752,David Michineau,PG,4,02:14,134,145,19.4,85,-34.2,60,53.6,20,6,29,17,12,55.6,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euroleague,25,2025,offensive,2222,AS Monaco,Monaco,24752,David Michineau,PG,4,02:14,134,145,19.4,,,,,,6,,,,,,125.6,20,-10.7,9,66.7,9.2,3,25,-11.3,66.7,28.2,45,15.2,41.2,10.8,19,7.5,,,,,,,,,,,,,,,,,,
euroleague,25,2025,defensive,2222,AS Monaco,Monaco,24752,David Michineau,PG,4,02:14,134,,,85,-34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2,6,69.2,-1.1,10,50,-6.9,8,44.4,3.8,25,-21.8,15,-14.9,15,-11.8,16.7,-2
euroleague,25,2025,total,389,EA7 Emporio Armani Milan,EA7 Armani,18406,Vlatko Cancar,SF,2,07:43,463.5,134.5,17.5,92.6,-29.7,41.9,47.2,29,21,39,25,14,54.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euroleague,25,2025,offensive,389,EA7 Emporio Armani Milan,EA7 Armani,18406,Vlatko Cancar,SF,2,07:43,463.5,134.5,17.5,,,,,,21,,,,,,117,30,6.1,13,61.5,3.2,9,40.9,-5.2,66.7,22.8,24.1,-8,28,-1.7,21.9,4,,,,,,,,,,,,,,,,,,
euroleague,25,2025,defensive,389,EA7 Emporio Armani Milan,EA7 Armani,18406,Vlatko Cancar,SF,2,07:43,463.5,,,92.6,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3,19,71.4,-1.6,18,50,-4.4,7,28,-4.7,28.6,-16.9,22.2,-4.6,15.4,-11.4,16.1,5
