season,league_id,mode,player_id,player_name,player_name_short,team_id,team_name,team_short_name,positions,games_played,minutes_per_game,minutes_per_game_raw,offensive_rating_lineup,offensive_rating_ind,points,3p_percentage,2p_percentage,ft_percentage,ts_percentage,3p_attempted,2p_attempted,ft_attempted,3p_attempted_rate,created_points,assists,assist_percentage,turnovers,turnover_percentage,offensive_rebounds,offensive_rebound_percentage,fouls_received,blocks_received,usage_percentage,defensive_rating_lineup,defensive_rating_ind,stops,stop_percentage,defensive_rebounds,defensive_rebound_percentage,steals,steal_percentage,blocks,block_percentage,foul_stops
2025,25,offensive,10026,Aleksandr Vezenkov,A. Vezenkov,460,Olympiacos Piraeus,Olympiacos,PF,39,27:51,1671.7,123.6,138.4,19,40,62,89,68,4.4,7.8,4.4,36.3,22.3,1.2,3,1.1,8,1.4,6,3.1,0.2,25.1,,,,,,,,,,,
2025,25,defensive,10026,Aleksandr Vezenkov,A. Vezenkov,460,Olympiacos Piraeus,Olympiacos,PF,39,27:51,1671.7,,,,,,,,,,,,,,,,,,,,,,113.3,114.1,5.15,50,5,20,0.6,1.1,0.1,0.2,0.1
2025,25,offensive,36942,Nadir Hifi,N. Hifi,3292,Paris Basketball,Paris,SG,37,22:15,1335.9,115.7,121.7,18.9,35,47,84,57,6.7,7.5,5.6,47.2,28.2,3.8,14,2.4,13,0.3,1,5.6,0.5,36.6,,,,,,,,,,,
2025,25,defensive,36942,Nadir Hifi,N. Hifi,3292,Paris Basketball,Paris,SG,37,22:15,1335.9,,,,,,,,,,,,,,,,,,,,,,117.9,119,3.99,46,2,10,0.9,2.2,0,0.1,0.1
2025,25,offensive,24328,Kendrick Nunn,K. Nunn,33,Panathinaikos AKTOR Athens,Panathinaikos,PG,37,29:43,1783.8,119.9,119.8,18.3,38,58,89,62,5.4,8.3,2.7,39.4,26,3.5,9,2.9,17,0.6,2,3.3,0.4,28,,,,,,,,,,,
2025,25,defensive,24328,Kendrick Nunn,K. Nunn,33,Panathinaikos AKTOR Athens,Panathinaikos,PG,37,29:43,1783.8,,,,,,,,,,,,,,,,,,,,,,116.8,119.5,4.72,43,2.1,8,1,1.8,0.1,0.1,0.3
2025,25,offensive,19141,Timothe Luwawu-Cabarrot,T. Luwawu-Cabarrot,709,Kosner Baskonia Vitoria-Gasteiz,Baskonia,SF,36,25:22,1522.9,116.7,120.6,18.3,41,55,90,65,6.5,5.8,4.4,52.8,22.7,1.9,6,1.8,11,0.6,3,3.7,0.5,29.4,,,,,,,,,,,
2025,25,defensive,19141,Timothe Luwawu-Cabarrot,T. Luwawu-Cabarrot,709,Kosner Baskonia Vitoria-Gasteiz,Baskonia,SF,36,25:22,1522.9,,,,,,,,,,,,,,,,,,,,,,122.6,124,4.24,44,2.9,13,0.6,1.3,0.1,0.2,0.2
2025,25,offensive,24404,Carsen Edwards,C. Edwards,90,Virtus Segafredo Bologna,Virtus,PG,36,25:12,1512.4,109.9,108.6,17.3,32,47,80,51,7.8,8,2.9,49.4,22.6,2.3,8,2.6,13,0.3,1,3.8,1.1,36.1,,,,,,,,,,,
2025,25,defensive,24404,Carsen Edwards,C. Edwards,90,Virtus Segafredo Bologna,Virtus,PG,36,25:12,1512.4,,,,,,,,,,,,,,,,,,,,,,121.1,123.6,3.95,43,1.9,9,0.9,1.9,0.1,0.2,0.1
2025,25,offensive,23675,Jordan Nwora,J. Nwora,74,Crvena Zvezda Meridianbet Belgrade,C.Zvezda,SF,34,27:07,1627.8,115.3,112.5,16.9,36,55,81,60,5.1,7.6,3.9,40.4,20.4,1.6,4,2.2,14,0.7,3,3.5,0.3,27.2,,,,,,,,,,,
2025,25,defensive,23675,Jordan Nwora,J. Nwora,74,Crvena Zvezda Meridianbet Belgrade,C.Zvezda,SF,34,27:07,1627.8,,,,,,,,,,,,,,,,,,,,,,115.9,114.5,5.4,53,3.7,16,1.1,2.2,0.3,0.5,0.2
2025,25,offensive,21280,Sylvain Francisco,S. Francisco,265,Zalgiris Kaunas,Zalgiris,"PG,SG",42,27:46,1666.6,123,127.1,16.5,39,51,80,62,7,4.5,4.9,61,31.7,6.5,18,2.8,17,0.5,2,4.7,0.5,27.6,,,,,,,,,,,
2025,25,defensive,21280,Sylvain Francisco,S. Francisco,265,Zalgiris Kaunas,Zalgiris,"PG,SG",42,27:46,1666.6,,,,,,,,,,,,,,,,,,,,,,113.7,112.9,5.06,51,2.4,10,1,2,0.3,0.7,0.2
2025,25,offensive,17917,Mike James,M. James,2222,AS Monaco,Monaco,PG,39,29:56,1796.2,118.8,125.4,16.4,33,48,86,57,4.3,7.8,5.5,35.5,31.4,6.4,16,2.5,15,0.4,1,4.4,0.5,26.4,,,,,,,,,,,
2025,25,defensive,17917,Mike James,M. James,2222,AS Monaco,Monaco,PG,39,29:56,1796.2,,,,,,,,,,,,,,,,,,,,,,119.2,122.5,4.6,41,3.1,12,0.9,1.6,0.1,0.2,0.2
2025,25,offensive,21574,Dwayne Bacon,D. Bacon,3359,Dubai Basketball,Dubai,"SG,SF",29,29:22,1762.8,122.1,113.1,16.2,31,47,79,53,4.1,9.3,4.6,30.3,22,2.4,6,2.2,13,0.6,3,4.3,0.6,28.4,,,,,,,,,,,
2025,25,defensive,21574,Dwayne Bacon,D. Bacon,3359,Dubai Basketball,Dubai,"SG,SF",29,29:22,1762.8,,,,,,,,,,,,,,,,,,,,,,118.6,119.9,4.92,46,3.5,13,0.8,1.4,0.2,0.3,0.4
2025,25,offensive,21572,Tyler Dorsey,T. Dorsey,460,Olympiacos Piraeus,Olympiacos,SG,43,25:11,1511.4,121.6,123,15.9,39,52,79,60,6.4,5.2,3.7,55.2,21.8,2.6,8,1.9,13,0.5,2,3.6,0.5,27.9,,,,,,,,,,,
2025,25,defensive,21572,Tyler Dorsey,T. Dorsey,460,Olympiacos Piraeus,Olympiacos,SG,43,25:11,1511.4,,,,,,,,,,,,,,,,,,,,,,113.2,117.7,3.9,42,1.8,8,0.7,1.6,0.1,0.2,0.1
2025,25,offensive,24349,Talen Horton-Tucker,T. Horton-Tucker,584,Fenerbahce Beko Istanbul,Fenerbahce,SG,41,23:50,1430.2,113.3,119.9,15.7,26,57,76,57,3.7,8.2,4.4,30.9,21,2.2,7,2.1,13,1.1,5,4.1,0.5,31.1,,,,,,,,,,,
2025,25,defensive,24349,Talen Horton-Tucker,T. Horton-Tucker,584,Fenerbahce Beko Istanbul,Fenerbahce,SG,41,23:50,1430.2,,,,,,,,,,,,,,,,,,,,,,109.3,110.3,4.28,50,2.7,12,0.7,1.7,0.5,1.2,0.2
2025,25,offensive,35695,Carlik Jones,C. Jones,77,Partizan Mozzart Bet Belgrade,Partizan,PG,15,28:03,1683.9,120.3,125.5,15.4,29,52,90,57,2.8,9,4.1,23.7,26.3,4.6,12,1.8,12,0.9,4,4,1,26,,,,,,,,,,,
2025,25,defensive,35695,Carlik Jones,C. Jones,77,Partizan Mozzart Bet Belgrade,Partizan,PG,15,28:03,1683.9,,,,,,,,,,,,,,,,,,,,,,110.1,113.6,4.49,44,2.3,10,0.8,1.6,0.3,0.5,0.2
2025,25,offensive,23459,Elijah Bryant,E. Bryant,635,Hapoel Shlomo Tel Aviv,Hapoel,SG,38,29:30,1770.3,121.1,126.4,15.4,37,60,89,65,3.2,7.2,3.7,30.8,22.7,3.3,8,2.2,16,0.9,4,4.8,0.3,23.1,,,,,,,,,,,
