team_id,team_name,team_short_name,season,league_id,games_played_all,games_played_home,games_played_away,offense_all_offensive_rating,offense_all_points,offense_all_3p_percentage,offense_all_2p_percentage,offense_all_ft_percentage,offense_all_ts_percentage,offense_all_3p_attempted,offense_all_2p_attempted,offense_all_ft_attempted,offense_all_3p_attempted_rate,offense_all_assists,offense_all_assist_percentage,offense_all_turnovers,offense_all_turnover_percentage,offense_all_steals_opponent,offense_all_offensive_rebounds,offense_all_offensive_rebound_percentage,offense_all_fouls_received,offense_all_blocks_received,offense_all_possessions,offense_home_offensive_rating,offense_home_points,offense_home_3p_percentage,offense_home_2p_percentage,offense_home_ft_percentage,offense_home_ts_percentage,offense_home_3p_attempted,offense_home_2p_attempted,offense_home_ft_attempted,offense_home_3p_attempted_rate,offense_home_assists,offense_home_assist_percentage,offense_home_turnovers,offense_home_turnover_percentage,offense_home_steals_opponent,offense_home_offensive_rebounds,offense_home_offensive_rebound_percentage,offense_home_fouls_received,offense_home_blocks_received,offense_home_possessions,offense_away_offensive_rating,offense_away_points,offense_away_3p_percentage,offense_away_2p_percentage,offense_away_ft_percentage,offense_away_ts_percentage,offense_away_3p_attempted,offense_away_2p_attempted,offense_away_ft_attempted,offense_away_3p_attempted_rate,offense_away_assists,offense_away_assist_percentage,offense_away_turnovers,offense_away_turnover_percentage,offense_away_steals_opponent,offense_away_offensive_rebounds,offense_away_offensive_rebound_percentage,offense_away_fouls_received,offense_away_blocks_received,offense_away_possessions,defense_all_defensive_rating,defense_all_points_opponent,defense_all_3p_percentage_opponent,defense_all_2p_percentage_opponent,defense_all_ft_percentage_opponent,defense_all_ts_percentage_opponent,defense_all_3p_attempted_opponent,defense_all_2p_attempted_opponent,defense_all_ft_attempted_opponent,defense_all_3p_attempted_rate_opponent,defense_all_assists_opponent,defense_all_assist_percentage_opponent,defense_all_turnovers_opponent,defense_all_turnover_percentage_opponent,defense_all_steals,defense_all_defensive_rebounds,defense_all_defensive_rebound_percentage,defense_all_fouls,defense_all_blocks,defense_all_possessions_opponent,defense_home_defensive_rating,defense_home_points_opponent,defense_home_3p_percentage_opponent,defense_home_2p_percentage_opponent,defense_home_ft_percentage_opponent,defense_home_ts_percentage_opponent,defense_home_3p_attempted_opponent,defense_home_2p_attempted_opponent,defense_home_ft_attempted_opponent,defense_home_3p_attempted_rate_opponent,defense_home_assists_opponent,defense_home_assist_percentage_opponent,defense_home_turnovers_opponent,defense_home_turnover_percentage_opponent,defense_home_steals,defense_home_defensive_rebounds,defense_home_defensive_rebound_percentage,defense_home_fouls,defense_home_blocks,defense_home_possessions_opponent,defense_away_defensive_rating,defense_away_points_opponent,defense_away_3p_percentage_opponent,defense_away_2p_percentage_opponent,defense_away_ft_percentage_opponent,defense_away_ts_percentage_opponent,defense_away_3p_attempted_opponent,defense_away_2p_attempted_opponent,defense_away_ft_attempted_opponent,defense_away_3p_attempted_rate_opponent,defense_away_assists_opponent,defense_away_assist_percentage_opponent,defense_away_turnovers_opponent,defense_away_turnover_percentage_opponent,defense_away_steals,defense_away_defensive_rebounds,defense_away_defensive_rebound_percentage,defense_away_fouls,defense_away_blocks,defense_away_possessions_opponent
2222,AS Monaco,Monaco,2025,25,43,21,22,118.5,88.7,34.1,56.7,80.7,59.7,24.8,40.2,21.9,38,20.7,27.8,10.9,12.8,6,10.3,29.8,22.3,2.2,74.8,124.6,93.5,36.2,59.8,82.2,62.7,24.3,40.9,22.1,37,22,29.6,10.9,12.8,6,10.4,31.7,22.6,1.8,75,112.7,84.1,32.1,53.8,79.4,56.8,25.3,39.5,21.6,39,19.3,26.1,10.8,12.7,6,10.2,28,22.1,2.5,74.6,116.9,87.2,37.5,55.3,74.3,59.2,27.6,38.5,18.3,42,18.1,24.6,12.9,14.9,6.7,23.7,66.5,20.9,2.8,74.6,115.4,86.2,39.1,54.2,74.9,59.3,27.5,38.5,16.3,42,17.4,23.9,13.7,15.8,7,23.9,67.2,20,3,74.7,118.2,88.2,35.9,56.4,73.8,59.1,27.6,38.5,20.3,42,18.9,25.3,12.2,14,6.5,23.6,65.9,21.7,2.5,74.6
583,Anadolu Efes Istanbul,Efes,2025,25,38,19,19,111.1,80.1,35.5,54.3,78.4,58.1,25.8,35.5,17.9,42,17.5,25.3,12.6,15.4,5.7,9.4,28.2,20.3,2.4,72.1,111.6,81.3,35.4,55.2,78.7,58.7,24.8,36.3,19,41,18.1,26.1,12.9,15.7,5.7,9.3,28.4,20.9,2.4,72.9,110.7,78.9,35.6,53.5,78.1,57.5,26.7,34.7,16.8,43,16.9,24.6,12.2,15.1,5.8,9.5,28,19.7,2.4,71.3,117.3,84.3,36.5,55.3,80.7,60.1,25.6,35.9,20.7,42,19.6,28,12.4,15,6.4,22,67.3,21.4,2.6,71.9,113.7,82.6,34.3,56.1,82.1,59.5,25.9,35,20.3,43,19.7,28.4,13.5,16.3,6.7,22.1,68.3,21.2,2.3,72.6,120.9,86.1,38.6,54.5,79.4,60.6,25.2,36.8,21.2,41,19.6,27.6,11.3,13.7,6.1,21.9,66.3,21.5,3,71.2
74,Crvena Zvezda Meridianbet Belgrade,C.Zvezda,2025,25,39,19,20,115.9,87.2,35.1,55.7,74.3,58.4,25.7,39.7,21.2,39,20,26.8,13.9,15.7,8,13.3,37.5,21.8,2.8,75.2,115.9,86.6,34.5,55.8,71.5,57.7,24.6,40.9,21.6,38,20,26.6,12.9,14.7,7.6,13.3,37,22.3,2.8,74.7,115.9,87.7,35.6,55.7,77,59.1,26.8,38.6,20.9,41,20,26.9,15,16.8,8.3,13.4,38,21.3,2.8,75.7,115,86.1,35.5,56.5,75.4,59.2,28.5,35.4,20.9,45,19.1,26.3,13,15.2,6.1,24.6,69.5,21.4,2.1,74.8,109.8,81.7,33.7,56,73.3,57.2,27.9,35.3,18.9,44,17.4,24.3,14,16.4,6.6,24.9,69.4,20.3,2.1,74.4,119.9,90.2,37.1,56.9,77.4,61.1,29,35.4,22.8,45,20.8,28.1,12,14,5.5,24.4,69.7,22.5,2.1,75.2
3359,Dubai Basketball,Dubai,2025,25,38,19,19,119.3,88.1,34.9,55.2,81.5,59.9,23.6,40.1,23.5,37,18.9,25.7,10.7,12.7,5.6,10.4,30.6,21.9,2.5,73.8,122.9,92.6,35.7,55.9,80.7,60.7,23.6,41.7,25.6,36,19.4,25.5,9.8,11.4,4.7,10.7,31.2,22.6,2.1,75.3,115.7,83.7,34.1,54.4,82.2,59,23.6,38.6,21.3,38,18.4,26,11.6,14,6.5,10.2,29.9,21.1,2.9,72.3,119.1,88,37.7,53.2,77,58.7,25.8,40.7,20.2,39,18.7,24.9,10.7,12.5,5.6,24.6,67.5,22.7,2.7,73.9,119.1,89.7,38.5,51,76.4,58.1,26.7,41.6,21.6,39,19.6,25.4,10.3,11.8,4.9,26.1,68,23.4,2.8,75.3,119,86.3,37,55.3,77.7,59.3,24.9,39.8,18.8,38,17.7,24.4,11.1,13.3,6.2,23.1,67.1,21.9,2.6,72.5
389,EA7 Emporio Armani Milan,EA7 Armani,2025,25,38,19,19,119.3,86.1,39.2,54.9,80,60.9,26.3,36,19.5,42,18.8,26.7,11.6,14.1,6.2,10,30.3,21.2,2.2,72.2,124,88.4,40.8,56.1,80.8,62.5,26.8,35.1,20.1,43,19.9,28.2,10.5,13,5.8,9.9,30.7,21.9,2.4,71.3,114.6,83.7,37.6,53.7,79.2,59.3,25.8,36.8,19,41,17.7,25.1,12.6,15.2,6.6,10.2,29.8,20.5,2,73,120.1,87.2,37.4,55.5,79.7,59.9,25.3,39.9,18.3,39,18.1,24.8,10.7,12.8,5.1,23.4,68.4,20.1,2.1,72.6,121.8,87.6,37.4,54.5,79.9,59.7,25.6,39.4,19.9,39,18.4,25.1,10.4,12.4,5.2,22.9,66,20.3,2.2,71.9,118.4,86.8,37.3,56.5,79.6,60.1,24.9,40.4,16.7,38,17.7,24.5,11,13.2,5,23.9,70.8,19.9,1.9,73.4
60,FC Barcelona,Barcelona,2025,25,40,20,20,116.9,84.3,37.3,54.9,77.9,59,25.9,38.3,17,40,18,25.3,12,14.4,5.9,11.3,32.8,20.8,2.2,72.1,120.7,87.6,37.2,55.6,78.7,59.5,26,40.1,17.9,39,17.8,24.1,10.8,12.7,5.7,11.8,33.9,21.8,2,72.6,113.1,81,37.5,54.2,77,58.6,25.8,36.6,16.1,41,18.3,26.5,13.3,16.1,6.2,10.8,31.8,19.9,2.4,71.6,115.9,83.5,35.2,57.4,78.8,60.1,23.7,37.5,19.5,39,17.2,24.7,13,15.7,7.2,22.1,68.1,20.5,1.7,72,117.4,85.2,37.7,58.9,80.7,62.2,24.3,37.1,17.4,40,17.1,24.9,13.3,16.3,7.3,22.1,70.5,19.8,1.8,72.6,114.4,81.8,32.7,55.9,77,58.1,23.1,37.9,21.7,38,17.3,24.6,12.6,15.2,7.1,22.1,65.6,21.2,1.6,71.5
1220,FC Bayern Munich,Bayern,2025,25,38,19,19,111.5,80.8,35.5,54.6,79.3,57.8,27.1,36.3,15.4,43,18.6,26.6,13,15.7,6.7,10.4,30.1,19.2,2.5,72.5,114.7,82.1,36.2,55.4,80.5,58.7,27.2,35.7,16.2,43,18.7,26.8,12.3,14.9,6.8,10.6,31.3,19.9,2.4,71.6,108.2,79.5,34.9,53.8,78.1,56.9,27,36.9,14.6,42,18.4,26.4,13.7,16.4,6.5,10.2,28.8,18.5,2.6,73.4,115,83.7,36.1,56.1,78.9,59.5,27,35.3,18.7,43,18.7,26.6,13.3,15.9,6.7,22.7,67.9,21.8,2,72.7,111.2,80.2,36.6,54.1,79.4,58.8,26.9,33.6,18.1,44,16.9,24.9,13.7,16.8,7.5,23.3,70.4,21.1,1.8,72.1,118.8,87.2,35.5,58.2,78.5,60.2,27.1,37,19.4,42,20.5,28.4,12.8,15,5.8,22.2,65.3,22.6,2.2,73.4
584,Fenerbahce Beko Istanbul,Fenerbahce,2025,25,43,21,22,113.8,81.9,36.1,54.3,79.6,58.7,25.9,36.1,18.5,42,16.1,23.1,13.5,16.2,6.4,11.3,33.4,20.5,2.1,72,114.1,80.7,35.3,55.2,81.1,58.8,25.6,35.2,18.1,42,15.9,23.1,13.6,16.5,7.1,11.5,34.7,20.1,2,70.8,113.5,83,36.9,53.4,78.2,58.6,26.1,36.9,18.8,41,16.4,23.1,13.4,15.9,5.7,11.1,32.1,21,2.2,73.1,111.3,80.5,32,52,78.6,55.9,24.2,38.4,21.9,39,16.8,23.3,11.8,14.1,5.2,24.1,67.9,23.1,2.9,72.3,106.2,75.6,31.2,50,78.3,54.2,23.3,38.1,20,38,16.3,23.4,12.7,15.4,5.2,24.2,68.1,22,2.9,71.2,116.1,85.2,32.8,53.9,78.9,57.6,25.1,38.8,23.7,39,17.2,23.3,11,12.9,5.3,24,67.6,24.2,3,73.4
635,Hapoel Shlomo Tel Aviv,Hapoel,2025,25,42,21,21,117.9,87.3,36.9,58.9,79.4,61.6,24.3,39.1,18,38,17.3,24.4,12,14.5,6.1,8.9,27.6,21.5,3.1,74,119.1,88.4,36.7,59.5,81.7,62,24,39.4,18.5,38,18,25.3,11.1,13.5,5.8,8.2,25.9,21.2,3.1,74.2,116.8,86.2,37.1,58.4,77,61.2,24.6,38.8,17.6,39,16.5,23.5,13,15.5,6.5,9.5,29.4,21.7,3.1,73.9,115.2,85.4,33.3,56.1,80.7,58,26.7,39.5,17.8,40,18.3,24.9,12.1,14.1,6,24.2,67.8,19.9,2.7,74.1,111.8,83.2,34.5,54.9,77.1,57.4,26,39.6,16.6,40,18.1,25,13.1,15.4,6.8,24.5,68.7,19.2,3.1,74.4,118.6,87.6,32.2,57.2,84.3,58.6,27.4,39.5,19,41,18.6,24.9,11,12.8,5.3,24,66.9,20.5,2.2,73.9
709,Kosner Baskonia Vitoria-Gasteiz,Baskonia,2025,25,38,19,19,115.7,88.3,34.2,58.1,81.5,60,28.1,36.4,21.1,44,19,25.8,13.1,15.1,5.7,10.3,29.6,21.7,2.7,76.3,119.7,91.2,35.8,60.3,81.2,62.3,28.7,35,22.4,45,19,26,12.6,14.7,5.5,9.6,28.5,22.5,2.2,76.2,111.8,85.5,32.7,55.9,81.9,57.8,27.5,37.8,19.7,42,19,25.7,13.6,15.5,5.8,11.1,30.8,20.9,3.1,76.5,121.8,93.1,40.8,54,81.8,61.6,24.9,41.2,22.3,38,18,23.9,12.5,14.2,6.1,23.1,66.6,22.2,2.7,76.4,119.4,90.7,38.4,53.9,84.1,60.4,26.3,40.1,20.5,40,17.4,23.1,12.3,14.1,5.6,24.1,68,21.5,3.2,76,124.2,95.4,43.3,54.2,79.5,62.8,23.5,42.3,24.1,36,18.7,24.6,12.6,14.3,6.7,22.1,65.2,22.9,2.2,76.8
700,LDLC ASVEL Villeurbanne,ASVEL,2025,25,38,19,19,107.4,79.3,33,51.6,75.2,54.8,27.9,36.5,18.6,43,17.6,24.3,13,15.2,7.1,11.6,31.1,20.2,2.5,73.8,109.3,81.7,32.6,52.6,73.9,55.2,27.9,37.5,20.2,43,17.5,23.6,13.1,15,7.3,12.3,32.6,21.4,2.3,74.7,105.5,76.8,33.5,50.7,76.5,54.3,27.8,35.4,17,44,17.6,24.9,12.9,15.5,6.9,10.8,29.6,19.1,2.7,72.8,118.1,86.6,35.7,58.7,76.9,61.1,24.1,37.1,22.4,39,20,28.3,13.1,15.6,6.7,21.8,67.1,22.7,2.6,73.3,117.1,86.6,35.7,58.9,78.3,61.6,24.2,36.1,23.3,40,19.5,27.7,14.8,17.4,7.4,20.6,65.1,22.9,2.6,74,119.1,86.5,35.7,58.5,75.5,60.5,24.1,38.1,21.5,39,20.6,28.8,11.4,13.8,5.9,23.1,69.2,22.6,2.5,72.6
636,Maccabi Playtika Tel Aviv,Maccabi,2025,25,38,19,19,118.1,90.1,35.3,53.8,80.1,58.5,28.6,38.9,22.6,42,19.9,25.9,12.3,13.7,6.2,12.9,34.5,22.5,2.1,76.3,120.5,92.6,37,53.5,79.8,59.7,28,39.5,24,41,20.3,26.1,11.9,13.3,6.1,12.6,34.3,23.4,2.1,76.8,115.7,87.7,33.6,54.1,80.3,57.4,29.1,38.3,21.1,43,19.6,25.6,12.6,14.2,6.3,13.3,34.7,21.7,2.2,75.8,121.6,92.7,35.4,59.7,79,61.3,29.6,36.9,21.8,45,21.5,28.5,12.8,14.5,6.8,22.9,65.4,22.1,2.4,76.2,122,93.4,34.4,59.3,79.5,60.5,29.5,38.6,21.5,43,21.4,27.8,12.6,14,6.2,23.1,63.6,21.3,2.6,76.5,121.2,91.9,36.3,60.1,78.6,62.1,29.6,35.2,22.2,46,21.6,29.2,13,14.9,7.5,22.7,67.1,22.9,2.2,75.8
460,Olympiacos Piraeus,Olympiacos,2025,25,43,23,20,122.9,90.5,36.1,59.4,78.2,61.9,27.8,35.5,23.3,44,21.4,29.2,12.4,14.5,7.2,11.8,35.3,23,2,73.7,123.8,90.9,35.3,61.4,76.9,62.4,27.6,35.4,23.7,44,21.1,29,12.3,14.4,6.7,11.7,35.2,22.9,1.8,73.4,121.8,90,37.1,57,79.6,61.3,28.1,35.6,22.9,44,21.7,29.5,12.5,14.6,7.8,12,35.4,23.1,2.2,73.9,112.1,82.4,34.7,55.1,76.9,57.3,29.1,36.3,15.8,45,18.8,26.2,12.3,14.6,6.2,25.6,70.7,18.7,2.3,73.6,107.8,79.1,34,54.3,75.9,56.1,28.9,35.7,14.3,45,18.5,26.2,13.2,15.8,6.7,25.8,71.5,18.3,2.2,73.4,117,86.3,35.4,56,78.1,58.6,29.4,37,17.6,44,19.3,26.1,11.2,13.1,5.7,25.5,69.7,19.3,2.3,73.8
33,Panathinaikos AKTOR Athens,Panathinaikos,2025,25,44,22,22,118.8,86.7,35.1,56.2,79.9,59.3,24.4,40.9,18.7,37,18.6,25.4,10.9,13,5.7,11,31.6,20.8,2.4,72.9,122.8,89.7,34,58.2,81.2,60.4,23.9,42.2,19.9,36,20.3,27.3,10.1,12,5,11.4,32.6,21,2.4,73,114.8,83.6,36.3,54.2,78.5,58.2,24.8,39.5,17.5,39,16.9,23.6,11.6,14,6.3,10.6,30.6,20.6,2.4,72.8,116.1,85,34.6,57.5,77.7,59,28.1,35.9,18.8,44,19.6,27.2,12.5,14.8,6.4,23,66.9,20.2,2,73.2,114.3,83.8,33.7,57.8,77.3,58.6,28.5,35.1,18.6,45,20.2,28.2,13.2,15.6,6.7,23.1,66.9,20.1,2.1,73.3,117.8,86.2,35.4,57.1,78.2,59.4,27.7,36.7,19,43,19,26.2,11.9,14,6.1,22.8,66.8,20.2,1.9,73.2
3292,Paris Basketball,Paris,2025,25,38,19,19,115.3,90.1,36.9,52.3,75.9,57.9,32.9,36.1,20.9,48,17.5,22.5,13.8,15.1,7.4,13.4,34.3,21.3,3.4,78.1,117.6,91.3,35.6,52.6,75.6,57.5,32.6,37.4,22.5,47,17.5,22,12,13.1,6.4,13.8,33.9,22.3,3.3,77.6,113,88.8,38.3,52,76.2,58.3,33.2,34.7,19.3,49,17.6,23.1,15.6,17,8.4,13.1,34.7,20.4,3.6,78.6,116.4,90.9,35.9,55.1,78.4,59.4,30.3,35.8,24.1,46,21.9,28.6,14.7,16.1,7.3,23.8,64.5,23,3,78.2,117,91,37.9,54.1,79.5,60.2,29.7,35.3,23.9,46,21.4,28.3,15.3,16.8,7.3,22.5,63.4,23.2,3.5,77.8,115.8,90.9,34,56.2,77.2,58.5,30.8,36.3,24.3,46,22.5,28.9,14.1,15.4,7.4,25.1,65.5,22.9,2.5,78.5
77,Partizan Mozzart Bet Belgrade,Partizan,2025,25,38,19,19,110.9,81.6,34.1,54.1,81.2,57.2,24.8,39.7,16.4,38,17.5,24.5,12.5,14.9,6.6,10.3,29.4,19.6,2.9,73.6,111,83.5,33.3,52.9,79.9,56.1,25.6,41.1,18.1,38,17.1,22.9,11.7,13.6,6.9,10.9,29.5,20.4,2.4,75.2,110.7,79.7,35,55.4,82.4,58.3,23.9,38.4,14.7,38,17.9,26.2,13.3,16.2,6.4,9.6,29.3,18.7,3.4,72,117.1,86.6,37.6,57.4,76.9,61,26.3,35.8,20.6,42,19.4,27.4,12.9,15.4,7.1,22.7,69.5,21.3,2.3,73.9,114.7,86.3,38.2,58,76.7,61.7,28.5,32.7,20.5,47,20.2,28.9,14.1,16.7,7.5,23.4,72.7,21.4,2.3,75.3,119.6,86.8,37.1,56.8,77,60.3,24,38.9,20.6,38,18.7,26,11.8,14.1,6.7,22.1,66.2,21.2,2.2,72.6
368,Real Madrid,Real,2025,25,44,21,23,120.8,88.1,37.8,56,78.8,60.7,26.6,37.1,20.8,42,19.2,26.5,12.3,14.5,5.5,11.9,35,21.7,2.8,73,127.9,92.6,40.4,57.8,82.7,64.1,25.3,38.1,21.5,40,21,29.1,11.4,13.7,5.1,11.3,34.9,22,2.3,72.4,114.3,84,35.4,54.3,75.3,57.7,27.7,36.2,20.2,43,17.6,24.1,13.1,15.3,6,12.4,35,21.5,3.3,73.5,113.8,83,36.6,52.4,78.5,57.3,26.9,38.2,17.1,41,16.5,22.8,10.8,12.9,6.3,25.7,71.6,20.2,3.9,72.9,110.2,79.9,35.3,50.1,78.7,55.4,26.8,38,17,41,16,22.1,11.3,13.5,7,26.1,70.6,19.4,4.5,72.5,117.1,85.9,37.7,54.4,78.3,59.1,27,38.4,17.3,41,17,23.4,10.3,12.4,5.7,25.4,72.6,21,3.3,73.3
677,Valencia Basket,Valencia,2025,25,44,23,21,118.8,90.4,36.1,57.7,71.9,59,31.8,36.6,19.2,47,21,27.4,12.4,14,6.7,13,35,21,2.3,76.1,118.2,89,34.9,59.9,70.4,59.2,31.5,34.9,20.1,47,20.5,27.3,12.1,13.9,6.7,11.9,33.1,21.5,2,75.3,119.4,91.9,37.4,55.3,73.6,58.7,32.1,38.4,18.2,46,21.6,27.6,12.8,14.1,6.6,14.1,37,20.5,2.6,77,114,86.3,35,54.5,81.5,58.4,27.6,38.4,19,42,19.2,26,13,15,7,24.8,68.9,20.7,3.3,75.7,110.6,82.4,35.4,52.9,80.9,57.4,27.1,37.6,17,42,17.7,24.6,13.6,15.9,6.7,25,69.7,19.9,3.5,74.6,117.8,90.5,34.5,56.3,82.2,59.5,28,39.2,21.2,42,20.9,27.5,12.4,14,7.3,24.6,67.9,21.6,3.2,76.9
90,Virtus Segafredo Bologna,Virtus,2025,25,38,19,19,112.1,81.8,35.1,55.7,79.3,58.7,25.7,36.3,18.2,42,19.3,27.7,13.9,16.7,6.8,10.6,31.3,20.6,3.4,73,115.8,83.8,36,55.2,79.3,59.1,25.8,37.5,18.3,41,19.5,27.4,12.6,15.1,6.6,11.2,32.6,21.1,3.1,72.4,108.4,79.8,34.1,56.2,79.2,58.4,25.6,35.1,18,42,19.2,28,15.2,18.2,7.1,9.9,30,20.1,3.7,73.6,118.1,86.4,36.4,56.7,77.5,59.7,29,35.4,18.8,45,20.2,27.9,12.2,14.4,6.6,23,66.8,20.9,2.2,73.2,116.7,84.8,35.5,56.3,77.7,58.8,29.1,35.4,17.9,45,19.8,27.5,12.6,14.9,6.7,22.7,65.4,20.8,2.4,72.7,119.6,88.1,37.4,57.1,77.3,60.6,29,35.3,19.7,45,20.5,28.2,11.8,14,6.4,23.2,68.3,21.1,2.1,73.7
265,Zalgiris Kaunas,Zalgiris,2025,25,42,21,21,120.1,87,38.8,54.8,74.8,60,24.8,39.3,20.3,39,19.4,26.7,11.5,13.7,5.9,11.6,33.7,21,2.8,72.5,117.6,85.7,37.7,52.7,72.9,57.8,25.7,40,19.9,39,19.4,26.1,11.5,13.4,6.2,12.8,35.2,21,3,72.9,122.5,88.3,39.9,56.9,76.8,62.2,23.9,38.5,20.7,38,19.3,27.2,11.6,14,5.7,10.5,32.2,21,2.6,72,114.8,83.2,35.4,54.1,77,57.5,22.4,42.5,17.4,35,17.5,24.2,11.5,13.7,5.9,23.2,67.2,20.2,2.8,72.5,108.1,78.7,34.4,51.4,73.6,54.5,22.6,42.8,15.5,35,17.5,24.2,12,14.3,5.9,24.6,68.3,19.2,3.2,72.8,121.5,87.6,36.5,56.8,80.4,60.5,22.2,42.1,19.2,34,17.5,24.2,10.9,13.1,5.9,21.8,66,21.2,2.3,72.1
