id,gp,first_name,last_name,team_id,team_code,team_name,position,position_id,cr,pdk,min,starter,pts,ast,reb,stl,blk,blka,fgm,fgm_tot,fga,fga_tot,tpm,tpm_tot,tpa,tpa_tot,ftm,ftm_tot,fta,fta_tot,oreb,dreb,tov,pf,fouls_received,plus_minus,fgp,tpp,ftp,slug
1218,12,Shane,Larkin,32,EFS,Anadolu Efes Istanbul,G,1,0.0,15.6,30.4,10,15.3,4.2,2.3,0.3,0.0,0.8,5.1,61.00,10.8,130.00,2.3,28.00,5.4,65.00,2.8,33.00,3.1,37.00,0.5,1.8,2.5,1.2,3.5,-1.7,46.9,43.1,89.2,shane-larkin
1237,14,Vincent,Poirier,32,EFS,Anadolu Efes Istanbul,C,3,0.0,11.4,18.5,13,8.0,1.2,4.6,0.5,0.6,0.2,3.1,44.00,6.0,84.00,0.0,0,0.0,0,1.7,24.00,2.3,32.00,2.1,2.6,0.7,2.0,2.4,-1.5,52.4,0.0,75.0,vincent-poirier
1240,37,Nick,Weiler-babb,32,EFS,Anadolu Efes Istanbul,G,1,0.0,11.3,28.8,36,7.7,4.8,3.4,1.2,0.1,0.1,2.5,92.00,6.1,225.00,1.4,52.00,3.8,142.00,1.3,49.00,1.8,65.00,0.8,2.6,1.6,2.7,2.2,-1.3,40.9,36.6,75.4,nick-weiler-babb
1265,5,Georgios,Papagiannis,32,EFS,Anadolu Efes Istanbul,C,3,0.0,5.6,14.8,2,2.2,1.0,3.4,0.4,0.6,0.0,1.0,5.00,3.0,15.00,0.2,1.00,1.0,5.00,0.0,0,0.0,0,1.0,2.4,0.4,1.2,1.2,0.8,33.3,20.0,0.0,georgios-papagiannis
1279,35,Rolands,Smits,32,EFS,Anadolu Efes Istanbul,F,2,0.0,6.3,19.0,12,6.7,0.7,3.1,0.3,0.1,0.1,2.5,88.00,5.0,176.00,0.7,24.00,2.1,73.00,0.9,33.00,1.3,45.00,0.9,2.1,0.8,2.7,1.6,-2.8,50.0,32.9,73.3,rolands-smits
1294,30,Isaia,Cordinier,32,EFS,Anadolu Efes Istanbul,G,1,0.0,8.9,24.2,20,9.4,1.9,2.8,0.8,0.2,0.3,3.1,94.00,7.4,221.00,1.0,31.00,3.5,105.00,2.1,63.00,2.5,75.00,0.6,2.2,1.5,2.5,2.4,-1.4,42.5,29.5,84.0,isaia-cordinier
1364,33,Sehmus,Hazer,32,EFS,Anadolu Efes Istanbul,G,1,0.0,4.2,13.2,1,5.6,1.1,0.9,0.4,0.0,0.2,2.0,67.00,5.0,164.00,0.5,18.00,1.8,61.00,1.0,34.00,1.4,45.00,0.2,0.7,0.9,1.1,1.5,-1.5,40.9,29.5,75.6,sehmus-hazer
1391,21,Rodrigue,Beaubois,32,EFS,Anadolu Efes Istanbul,G,1,0.0,4.8,12.4,4,5.1,1.1,1.2,0.6,0.2,0.1,2.1,44.00,4.4,93.00,0.7,15.00,2.0,42.00,0.2,5.00,0.2,5.00,0.1,1.1,0.5,0.9,0.2,-2.5,47.3,35.7,100.0,rodrigue-beaubois
1458,34,Jordan,Loyd,32,EFS,Anadolu Efes Istanbul,G,1,0.0,11.3,23.5,18,11.4,1.9,2.5,0.6,0.1,0.3,3.5,118.00,8.6,292.00,1.6,54.00,4.6,156.00,2.9,97.00,3.3,113.00,0.6,1.9,1.2,2.4,3.9,-2.3,40.4,34.6,85.8,jordan-loyd
1603,23,Erkan,Yilmaz,32,EFS,Anadolu Efes Istanbul,F,2,0.0,1.8,8.9,6,1.2,0.5,1.6,0.6,0.2,0.0,0.3,7.00,1.0,22.00,0.0,1.00,0.5,12.00,0.6,13.00,0.8,19.00,0.3,1.2,0.5,1.6,0.6,-1.0,31.8,8.3,68.4,erkan-yilmaz
1711,8,David,Mutaf,32,EFS,Anadolu Efes Istanbul,G,1,0.0,1.5,6.2,1,3.3,0.5,0.3,0.0,0.0,0.0,1.3,10.00,2.5,20.00,0.6,5.00,1.4,11.00,0.1,1.00,0.3,2.00,0.1,0.1,0.4,1.0,0.1,-3.3,50.0,45.5,50.0,david-mutaf
2060,26,Pj,Dozier,32,EFS,Anadolu Efes Istanbul,G,1,0.0,7.4,21.9,16,9.7,2.5,2.4,1.0,0.2,0.5,3.7,95.00,9.7,252.00,1.2,32.00,3.7,95.00,1.2,30.00,1.6,42.00,0.6,1.8,1.6,2.4,2.3,-4.6,37.7,33.7,71.4,pj-dozier
2100,36,Ercan,Osmani,32,EFS,Anadolu Efes Istanbul,F,2,0.0,11.8,24.4,34,10.9,1.3,4.6,0.5,0.2,0.3,4.1,148.00,7.9,285.00,1.0,37.00,2.5,91.00,1.6,58.00,2.1,74.00,1.2,3.4,2.0,2.4,2.8,-0.8,51.9,40.7,78.4,ercan-osmani
2560,27,Saben,Lee,32,EFS,Anadolu Efes Istanbul,G,1,0.0,8.3,16.8,3,8.0,2.4,1.1,0.7,0.0,0.3,2.6,69.00,5.7,154.00,0.6,16.00,2.0,54.00,2.3,63.00,3.1,83.00,0.2,0.9,1.2,1.3,2.5,-1.5,44.8,29.6,75.9,saben-lee
2659,36,Kai,Jones,32,EFS,Anadolu Efes Istanbul,C,3,0.0,7.7,15.5,3,3.6,0.5,3.5,0.5,1.3,0.0,1.6,58.00,1.8,63.00,0.0,0,0.0,0,0.4,14.00,0.6,21.00,1.1,2.4,0.5,1.7,0.5,-2.9,92.1,0.0,66.7,kai-jones
2674,30,Cole,Swider,32,EFS,Anadolu Efes Istanbul,F,2,0.0,4.2,9.0,3,5.3,0.3,1.1,0.2,0.0,0.1,1.7,52.00,3.4,102.00,1.3,38.00,2.6,79.00,0.6,18.00,0.6,19.00,0.2,0.9,0.2,1.3,0.4,-1.7,51.0,48.1,94.7,cole-swider
2675,17,Brice,Dessert,32,EFS,Anadolu Efes Istanbul,C,3,0.0,5.7,12.9,8,5.3,0.4,2.5,0.4,0.5,0.4,2.4,41.00,3.5,60.00,0.0,0,0.0,0,0.5,8.00,0.9,15.00,1.4,1.2,0.9,1.6,0.8,-3.4,68.3,0.0,53.3,brice-dessert
