team_id,team_name,season,guards_points,guards_rebounds,guards_assists,guards_steals,guards_blocks,guards_turnovers,guards_3point_field_goals_made,guards_fantasy_points,forwards_points,forwards_rebounds,forwards_assists,forwards_steals,forwards_blocks,forwards_turnovers,forwards_3point_field_goals_made,forwards_fantasy_points,centers_points,centers_rebounds,centers_assists,centers_steals,centers_blocks,centers_turnovers,centers_3point_field_goals_made,centers_fantasy_points
32,Anadolu Efes Istanbul,2025-26,11.34,2.62,4.11,0.56,0.12,1.88,1.56,13.33,11.15,3.95,1.29,0.63,0.17,1.12,1.30,13.25,10.39,5.42,1.31,0.72,0.92,0.92,0.44,15.24
33,AS Monaco,2025-26,12.69,2.59,3.52,0.93,0.18,1.86,1.72,13.66,10.62,4.22,1.72,0.68,0.15,1.13,1.55,11.93,10.41,6.41,1.24,0.57,0.61,1.17,0.33,15.11
34,Baskonia Vitoria-Gasteiz,2025-26,14.07,2.81,3.65,0.84,0.17,1.90,1.74,15.48,11.12,4.67,1.52,0.55,0.32,1.05,1.20,13.72,10.98,5.41,1.37,0.51,0.80,1.17,0.46,15.65
35,Crvena Zvezda Meridianbet Belgrade,2025-26,11.79,2.31,3.65,1.21,0.21,1.97,1.58,12.59,11.79,4.08,1.49,0.88,0.24,1.13,1.53,12.79,9.52,5.15,1.46,0.74,0.74,0.98,0.37,14.36
36,EA7 Emporio Armani Milan,2025-26,13.48,2.84,3.90,0.90,0.09,1.57,1.69,15.44,10.56,4.07,1.33,0.90,0.28,0.94,1.25,11.97,10.58,5.50,1.03,0.58,0.58,1.05,0.63,14.81
37,FC Barcelona,2025-26,12.68,2.41,3.61,0.75,0.07,2.25,1.74,13.51,9.65,4.21,1.41,0.71,0.21,1.04,0.93,11.29,10.51,5.36,1.24,0.78,0.82,0.98,0.38,15.22
38,FC Bayern Munich,2025-26,11.22,2.71,3.78,0.90,0.07,1.96,1.51,13.09,10.29,4.28,1.60,0.78,0.22,1.03,1.38,12.43,9.40,5.09,1.53,0.58,0.89,1.16,0.38,14.84
39,Fenerbahce Beko Istanbul,2025-26,11.98,2.39,3.79,1.03,0.05,1.62,1.47,12.39,10.72,4.23,1.32,0.71,0.25,0.93,1.07,12.36,10.73,5.89,0.89,0.48,0.77,1.55,0.39,14.82
40,LDLC ASVEL Villeurbanne,2025-26,12.06,3.32,3.89,0.72,0.07,1.73,1.35,15.13,9.52,3.92,1.63,0.94,0.33,1.18,1.02,12.24,11.83,5.31,1.46,0.71,0.94,1.17,0.37,17.70
41,Maccabi Rapyd Tel Aviv,2025-26,13.10,2.77,4.32,0.82,0.09,1.68,1.80,14.70,11.83,4.34,2.01,0.74,0.22,1.30,1.48,13.86,11.09,6.17,1.28,0.61,0.61,1.22,0.33,16.15
42,Olympiacos Piraeus,2025-26,12.13,2.71,3.86,0.92,0.09,1.72,1.65,13.36,10.69,3.85,1.39,0.86,0.18,1.05,1.45,10.99,9.45,5.26,1.50,1.05,0.71,1.39,0.32,12.31
43,Panathinaikos AKTOR Athens,2025-26,12.70,3.11,4.06,0.65,0.19,1.96,1.66,14.88,9.94,4.08,1.55,0.66,0.35,1.14,1.12,11.49,9.11,5.26,0.84,0.82,0.58,1.13,0.39,12.10
44,Partizan Mozzart Bet Belgrade,2025-26,11.88,2.69,4.01,0.88,0.15,1.87,1.65,13.84,9.99,4.11,1.56,0.76,0.23,0.98,1.30,12.34,12.18,5.92,1.44,0.97,0.95,1.67,0.59,18.21
45,Real Madrid,2025-26,12.68,2.63,3.35,0.82,0.14,1.57,1.68,13.11,10.51,4.10,1.40,0.61,0.29,1.12,1.26,11.20,9.48,4.94,0.83,0.50,0.98,0.88,0.73,11.40
46,Valencia Basket,2025-26,12.04,2.53,4.01,0.90,0.11,1.86,1.56,13.13,11.69,4.13,1.51,0.68,0.25,1.23,1.45,12.51,9.38,5.67,1.11,0.73,0.71,1.24,0.38,13.90
47,Virtus Bologna,2025-26,11.48,2.27,4.01,0.96,0.15,1.53,1.67,13.08,10.73,3.96,1.55,0.81,0.40,1.05,1.57,12.95,11.54,5.46,1.00,0.73,1.03,1.51,0.54,16.03
48,Zalgiris Kaunas,2025-26,11.36,2.33,3.25,0.66,0.13,1.50,1.26,11.20,10.30,4.09,1.29,0.69,0.33,1.09,1.16,12.18,11.05,5.36,1.34,0.70,0.82,1.07,0.43,15.15
56,Hapoel IBI Tel Aviv,2025-26,12.45,2.66,3.90,0.90,0.11,1.64,1.56,13.35,10.65,4.15,1.40,0.74,0.40,1.11,1.14,11.74,8.71,5.15,1.17,0.67,0.79,1.25,0.38,12.63
60,Paris Basketball,2025-26,12.54,2.58,4.18,0.91,0.16,1.70,1.92,14.23,11.04,4.70,1.83,0.90,0.32,1.44,1.31,13.53,11.82,5.92,1.51,1.03,1.13,1.36,0.38,19.07
75,Dubai Basketball,2025-26,12.18,2.85,3.71,0.98,0.14,1.53,1.61,13.94,10.53,4.07,1.49,0.48,0.17,0.73,1.38,11.69,11.00,5.29,1.21,0.71,0.82,1.37,0.37,14.45
