rank,name,club,position,price,role
1,Sasha Vezenkov,Olympiacos,F,17.0,player
2,Mike James,Anadolu Efes,G,16.0,player
3,Chima Moneke,Crvena Zvezda,F,15.5,player
4,Elijah Bryant,Hapoel Tel Aviv,G,15.5,player
5,Jonas Valanciunas,Zalgiris,C,15.5,player
6,Nikola Milutinov,Olympiacos,C,15.3,player
7,TJ Shorts,Valencia,G,14.9,player
8,Jaylen Hoard,Maccabi Tel Aviv,F,14.8,player
9,Nadir Hifi,Paris,G,14.8,player
10,Sylvain Francisco,Panathinaikos,G,14.8,player
11,Walter Tavares,Real Madrid,C,14.7,player
12,Kendrick Nunn,Panathinaikos,G,14.6,player
13,Mfiondu Kabengele,Dubai,C,14.6,player
14,Dario Saric,Anadolu Efes,F,14.5,player
15,Mathias Lessort,Panathinaikos,C,14.4,player
16,Guerschon Yabusele,Panathinaikos,F,14.3,player
17,Wade Baldwin,Fenerbahce,G,14.3,player
18,Dan Oturu,Hapoel Tel Aviv,C,14.2,player
19,Moses Wright,Milano,C,14.0,player
20,Tornike Shengelia,Dubai,F,13.8,player
21,Facundo Campazzo,Real Madrid,G,13.7,player
22,Carlik Jones,Partizan,G,13.6,player
23,Kevin Punter,Barcelona,G,13.6,player
24,McKinley Wright,Dubai,G,13.5,player
25,Shane Larkin,Fenerbahce,G,13.5,player
26,Nigel Hayes-Davis,Panathinaikos,F,13.4,player
27,Roman Sorkin,Maccabi Tel Aviv,C,13.4,player
28,Dzanan Musa,Dubai,G,13.3,player
29,Zach LeDay,Hapoel Tel Aviv,F,13.3,player
30,Jordan Nwora,Crvena Zvezda,F,13.0,player
31,Jean Montero,Olympiacos,G,12.8,player
32,Timothe Luwawu-Cabarrot,Real Madrid,F,12.8,player
33,Dwayne Bacon,Dubai,F,12.7,player
34,Filip Petrusev,Dubai,F,12.7,player
35,Talen Horton-Tucker,Fenerbahce,G,12.7,player
36,Tyler Dorsey,Olympiacos,G,12.6,player
37,Amir Coffey,Hapoel Tel Aviv,F,12.5,player
38,Josh Nebo,Barcelona,C,12.5,player
39,Kameron Taylor,Valencia,F,12.4,player
40,Shavon Shields,Fenerbahce,F,12.4,player
41,Will Clyburn,Fenerbahce,F,12.4,player
42,Patty Mills,ASVEL,G,12.3,player
43,Daniel Theis,Maccabi Tel Aviv,C,12.2,player
44,Elie Okobo,Dubai,G,12.2,player
45,Justin Robinson,Barcelona,G,12.2,player
46,Chris Jones,Crvena Zvezda,G,12.1,player
47,Ante Zizic,Besiktas,C,12.0,player
48,Tyrique Jones,Olympiacos,C,12.0,player
49,Vasilije Micic,Hapoel Tel Aviv,G,12.0,player
50,Alec Peters,Milano,F,11.7,player
51,Isaac Bonga,Panathinaikos,F,11.5,player
52,TJ Warren,Paris,F,11.5,player
53,Carsen Edwards,Zalgiris,G,11.4,player
54,Juancho Hernangomez,Panathinaikos,F,11.4,player
55,Bonzie Colson,Maccabi Tel Aviv,F,11.3,player
56,Marcus Bingham,Fenerbahce,C,11.3,player
57,Marjon Beauchamp,Bayern Munich,F,11.3,player
58,Azuolas Tubelis,Zalgiris,F,11.1,player
59,Tyson Etienne,Paris,G,11.1,player
60,Austin Wiley,Bayern Munich,C,11.0,player
61,Codi Miller-McIntyre,Olympiacos,G,11.0,player
62,Johnathan Motley,Crvena Zvezda,C,11.0,player
63,Rasheed Bello,Virtus Bologna,G,11.0,player
64,Donta Hall,Olympiacos,C,10.9,player
65,Keaton Wallace,Maccabi Tel Aviv,G,10.8,player
66,Daron Russell,Anadolu Efes,G,10.7,player
67,Kostas Sloukas,Panathinaikos,G,10.7,player
68,Johannes Thiemann,Bayern Munich,C,10.6,player
69,Patrick Baldwin Jr.,Crvena Zvezda,C,10.6,player
70,Sterling Brown,Zalgiris,G,10.6,player
71,Trent Forrest,Fenerbahce,G,10.6,player
72,Eugene Omoruyi,Besiktas,F,10.5,player
