player_id,player_name,team_name,position,season,games_played,bnadv_offensive_rating_lineup,bnadv_offensive_rating_ind,bnadv_points,bnadv_3p_percentage,bnadv_2p_percentage,bnadv_ft_percentage,bnadv_ts_percentage,bnadv_3p_attempted,bnadv_2p_attempted,bnadv_ft_attempted,bnadv_3p_attempted_rate,bnadv_created_points,bnadv_assists,bnadv_assist_percentage,bnadv_turnovers,bnadv_turnover_percentage,bnadv_offensive_rebounds,bnadv_offensive_rebound_percentage,bnadv_fouls_received,bnadv_blocks_received,bnadv_usage_percentage,bnadv_defensive_rating_lineup,bnadv_defensive_rating_ind,bnadv_stops,bnadv_stop_percentage,bnadv_defensive_rebounds,bnadv_defensive_rebound_percentage,bnadv_steals,bnadv_steal_percentage,bnadv_blocks,bnadv_block_percentage,bnadv_foul_stops,bnoo_2p_attempted_lineup_off,bnoo_2p_attempted_opponent_lineup_def,bnoo_2p_percentage_lineup_off,bnoo_2p_percentage_lineup_diff_off,bnoo_2p_percentage_opponent_lineup_def,bnoo_2p_percentage_opponent_lineup_diff_def,bnoo_3p_attempted_lineup_off,bnoo_3p_attempted_opponent_lineup_def,bnoo_3p_attempted_rate_lineup_off,bnoo_3p_attempted_rate_lineup_diff_off,bnoo_3p_attempted_rate_opponent_lineup_def,bnoo_3p_attempted_rate_opponent_lineup_diff_def,bnoo_3p_percentage_lineup_off,bnoo_3p_percentage_lineup_diff_off,bnoo_3p_percentage_opponent_lineup_def,bnoo_3p_percentage_opponent_lineup_diff_def,bnoo_assist_percentage_lineup_off,bnoo_assist_percentage_lineup_diff_off,bnoo_assist_percentage_opponent_lineup_def,bnoo_assist_percentage_opponent_lineup_diff_def,bnoo_defensive_rating_lineup_def,bnoo_defensive_rating_lineup_tot,bnoo_defensive_rating_lineup_diff_def,bnoo_defensive_rating_lineup_diff_tot,bnoo_defensive_rating_lineup_wo_def,bnoo_defensive_rebound_percentage_lineup_def,bnoo_defensive_rebound_percentage_lineup_diff_def,bnoo_fouls_rate_lineup_def,bnoo_fouls_rate_lineup_diff_def,bnoo_fouls_received_rate_lineup_off,bnoo_fouls_received_rate_lineup_diff_off,bnoo_net_points_lineup_tot,bnoo_net_rating_lineup_tot,bnoo_net_rating_lineup_diff_tot,bnoo_offensive_rating_lineup_off,bnoo_offensive_rating_lineup_tot,bnoo_offensive_rating_lineup_diff_off,bnoo_offensive_rating_lineup_diff_tot,bnoo_offensive_rating_lineup_wo_off,bnoo_offensive_rebound_percentage_lineup_off,bnoo_offensive_rebound_percentage_lineup_diff_off,bnoo_points_lineup_tot,bnoo_points_opponent_lineup_tot,bnoo_possession_percentage_lineup_off,bnoo_possession_percentage_lineup_tot,bnoo_possession_percentage_opponent_lineup_def,bnoo_possessions_lineup_tot,bnoo_rebound_percentage_lineup_tot,bnoo_rebound_percentage_lineup_diff_tot,bnoo_turnover_percentage_lineup_off,bnoo_turnover_percentage_lineup_diff_off,bnoo_turnover_percentage_opponent_lineup_def,bnoo_turnover_percentage_opponent_lineup_diff_def,dunk_cr,dunk_pdk,dunk_min,dunk_starter,dunk_pts,dunk_ast,dunk_reb,dunk_stl,dunk_blk,dunk_blka,dunk_fgm,dunk_fgm_tot,dunk_fga,dunk_fga_tot,dunk_tpm,dunk_tpm_tot,dunk_tpa,dunk_tpa_tot,dunk_ftm,dunk_ftm_tot,dunk_fta,dunk_fta_tot,dunk_oreb,dunk_dreb,dunk_tov,dunk_pf,dunk_fouls_received,dunk_plus_minus,dunk_fgp,dunk_tpp,dunk_ftp,dunk_slug,price,price_rank
,AJ Lawson,Baskonia,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,141.0
38819.0,Adam Atamna,LDLC ASVEL Villeurbanne,"PG,SG",2025.0,17.0,96.2,70.4,1.6,13.0,15.0,75.0,22.0,2.2,1.2,0.5,65.5,4.5,1.2,8.0,0.6,14.0,0.5,5.0,0.9,0.2,19.3,112.3,113.2,1.75,48.0,0.7,8.0,0.5,2.9,0.1,0.7,0.1,152.0,148.0,48.7,-0.5,58.1,-5.3,138.0,98.0,47.6,3.6,39.8,-0.7,26.1,-9.6,29.6,-7.5,19.2,-5.6,29.2,-1.3,112.3,112.3,-13.3,-13.3,125.7,68.5,4.3,32.1,1.5,28.7,2.1,-41.0,-16.1,1.4,96.2,96.2,-11.9,-11.9,108.1,31.8,-1.8,305.0,346.0,26.0,26.0,25.0,317.0,48.3,0.6,14.7,-1.9,16.4,1.4,0.0,0.5,10.4,1.0,1.6,1.2,1.2,0.5,0.1,0.2,0.5,8.0,3.4,58.0,0.3,5.0,2.2,38.0,0.4,6.0,0.5,8.0,0.5,0.7,0.6,1.2,0.9,-4.1,13.8,13.2,75.0,adam-atamna,,
,Agustin Ubal,Barcelona,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,250.0
37156.0,Alan Dokossi,Paris Basketball,PF,2025.0,34.0,115.4,107.5,5.0,,72.0,41.0,67.0,0.0,3.1,1.3,0.0,9.0,1.6,6.0,1.8,33.0,2.0,13.0,1.3,0.2,14.8,112.3,105.1,4.32,67.0,3.5,24.0,1.2,3.8,0.1,0.5,0.2,467.0,474.0,56.3,6.0,57.6,5.0,477.0,430.0,50.5,4.6,47.6,2.4,36.3,-0.1,33.7,-2.6,26.9,6.9,29.4,2.1,112.3,112.3,-4.9,-4.9,117.2,66.1,3.2,28.5,-0.1,25.5,-2.0,19.0,3.1,6.6,115.4,115.4,1.7,1.7,113.7,33.9,-0.6,1248.0,1229.0,41.0,41.0,41.0,1081.0,49.5,1.0,16.2,1.3,17.9,2.9,0.0,8.9,16.2,14.0,5.0,1.6,5.5,1.2,0.1,0.2,2.2,76.0,3.1,106.0,0.0,0.0,0.0,0.0,0.5,18.0,1.3,44.0,2.0,3.5,1.8,2.4,1.3,0.4,71.7,0.0,40.9,allan-dokossi,8.0,179.0
21026.0,Alberto Abalde,Real Madrid,SF,2025.0,42.0,119.5,123.3,4.6,47.0,46.0,80.0,60.0,1.9,1.7,0.4,52.9,7.6,1.3,5.0,0.6,14.0,0.5,4.0,0.6,0.1,13.9,115.4,120.4,2.25,40.0,1.0,7.0,0.4,1.5,0.0,0.1,0.0,586.0,658.0,54.9,-0.8,52.6,0.1,444.0,423.0,43.1,3.1,39.1,-3.2,39.9,3.2,39.0,3.8,25.3,-1.5,23.6,0.9,115.4,115.4,2.4,2.4,113.0,73.6,3.0,25.2,-2.8,27.0,-2.7,23.0,4.1,-4.0,119.5,119.5,-1.6,-1.6,121.1,32.5,-4.0,1395.0,1372.0,38.0,38.0,39.0,1167.0,53.7,-0.2,15.1,1.0,12.4,-0.9,0.0,4.1,15.6,40.0,4.6,1.3,1.6,0.4,0.0,0.1,1.7,71.0,3.6,153.0,0.9,38.0,1.9,81.0,0.3,12.0,0.4,15.0,0.5,1.0,0.6,1.9,0.6,1.4,46.4,46.9,80.0,alberto-abalde,4.5,292.0
21642.0,Alec Peters,Olympiacos Piraeus,PF,2025.0,43.0,123.0,126.6,7.5,42.0,67.0,84.0,70.0,2.3,2.3,1.8,49.5,10.1,1.0,5.0,0.8,13.0,0.6,5.0,1.8,0.1,19.5,110.1,109.0,3.03,55.0,2.3,17.0,0.5,1.7,0.0,0.1,0.2,552.0,544.0,59.6,0.4,56.1,1.4,450.0,471.0,44.9,1.6,46.4,2.9,36.0,-0.2,31.6,-4.9,30.4,1.8,25.9,-0.5,110.1,110.1,-3.1,-3.1,113.2,70.7,0.1,28.9,6.2,31.4,1.7,149.0,12.9,3.4,123.0,123.0,0.2,0.2,122.8,35.5,0.3,1443.0,1294.0,37.0,37.0,37.0,1173.0,54.2,0.7,14.7,0.3,15.1,0.8,0.0,9.1,15.2,4.0,7.5,1.0,2.8,0.5,0.0,0.1,2.5,108.0,4.6,198.0,1.0,41.0,2.3,98.0,1.5,66.0,1.8,79.0,0.6,2.3,0.8,1.9,1.8,3.7,54.5,41.8,83.5,alec-peters,11.7,50.0
19603.0,Aleksa Avramovic,Dubai Basketball,PG,2025.0,22.0,115.4,121.0,9.3,34.0,54.0,78.0,57.0,4.2,3.0,2.3,57.9,16.3,3.0,12.0,1.3,14.0,0.6,4.0,2.2,0.2,26.2,122.6,118.5,3.55,56.0,1.4,9.0,1.3,4.0,0.1,0.4,0.1,349.0,392.0,51.9,-5.9,55.6,2.7,261.0,234.0,42.8,11.0,37.4,-1.9,35.6,-1.3,36.8,0.3,25.8,-1.8,25.7,0.4,122.6,122.6,6.3,6.3,116.3,62.8,-9.2,31.7,5.1,28.4,1.7,-40.0,-7.3,-16.0,115.4,115.4,-9.6,-9.6,125.0,29.2,-2.5,811.0,851.0,43.0,43.0,43.0,703.0,45.8,-7.6,12.1,-0.1,13.7,2.7,0.0,10.5,17.0,1.0,9.3,3.0,2.0,1.3,0.1,0.2,3.0,67.0,7.2,159.0,1.4,31.0,4.2,92.0,1.8,40.0,2.3,51.0,0.6,1.4,1.3,1.7,2.2,-1.7,42.1,33.7,78.4,aleksa-avramovic,,
22650.0,Aleksa Radanov,Partizan Mozzart Bet Belgrade,SG,2025.0,10.0,77.9,80.7,1.2,29.0,50.0,,46.0,0.7,0.6,0.0,53.8,2.2,0.4,4.0,0.5,28.0,0.3,5.0,0.5,0.0,13.3,126.4,130.3,0.94,36.0,0.6,13.0,0.1,0.8,0.0,,0.0,61.0,66.0,45.9,-8.0,57.6,3.8,38.0,37.0,38.4,1.8,35.9,-2.2,26.3,-10.0,48.6,19.2,19.0,-7.4,33.3,7.4,126.4,126.4,22.7,22.7,103.7,70.2,-3.9,32.6,6.2,22.1,-3.3,-68.0,-48.5,-64.7,77.9,77.9,-42.0,-42.0,119.9,21.3,-11.9,95.0,163.0,16.0,16.0,17.0,122.0,42.6,-10.7,22.2,10.2,16.1,0.0,0.0,0.3,6.8,1.0,1.2,0.4,0.9,0.1,0.0,0.0,0.5,5.0,1.3,13.0,0.2,2.0,0.7,7.0,0.0,0.0,0.0,0.0,0.3,0.6,0.5,1.6,0.5,-6.2,38.5,28.6,0.0,aleksa-radanov,,
,Aleksander Balcerowski,Barcelona,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,177.0
10026.0,Aleksandr Vezenkov,Olympiacos Piraeus,PF,2025.0,39.0,123.6,138.4,19.0,40.0,62.0,89.0,68.0,4.4,7.8,4.4,36.3,22.3,1.2,3.0,1.1,8.0,1.4,6.0,3.1,0.2,25.1,113.3,114.1,5.15,50.0,5.0,20.0,0.6,1.1,0.1,0.2,0.1,982.0,1031.0,59.0,-4.4,54.4,-1.4,748.0,787.0,43.2,-1.8,43.3,-4.0,36.4,2.1,36.5,5.6,28.6,-3.3,26.0,-0.6,113.3,113.3,5.0,5.0,108.3,70.0,-2.0,22.5,-7.3,30.4,-0.3,222.0,10.4,-4.2,123.6,123.6,0.8,0.8,122.8,34.8,-1.2,2489.0,2267.0,70.0,70.0,70.0,2013.0,52.9,-2.4,13.9,-1.4,14.1,-1.5,0.0,23.8,27.8,39.0,19.0,1.2,6.4,0.6,0.1,0.2,6.6,258.0,12.2,477.0,1.8,70.0,4.4,173.0,3.9,154.0,4.4,173.0,1.4,5.0,1.1,0.9,3.1,5.2,54.1,40.5,89.0,sasha-vezenkov,17.0,1.0
